repair_id,bic_id_repair,user_id_repair,report_date,op_id_repair,STATION_id_repair,repair_date,repair_status
8000000,5000941,1000477,2020/12/25 22:41:46,3000038,4000067,2021-02-21 17:04:40,1
8000001,5000512,1000532,2020/12/06 16:01:51,3000043,4000007,2020-12-17 22:34:51,1
8000002,5000700,1000499,2021/01/30 17:36:38,3000039,4000086,2021-01-23 11:22:03,1
8000003,5000969,1000466,2021/02/06 23:27:12,3000000,4000090,2021-02-19 07:21:33,1
8000004,5000745,1000043,2020/12/28 07:51:13,3000048,4000091,2020-12-04 17:51:29,1
8000005,5000007,1000958,2020/12/16 08:40:25,3000022,4000060,2021-02-13 10:55:19,1
8000006,5000156,1000934,2021/02/01 09:17:23,3000039,4000086,2021-01-05 12:09:38,1
8000007,5000136,1000067,2020/12/08 00:13:05,3000005,4000021,2021-02-15 10:23:17,1
8000008,5000461,1000438,2020/12/07 07:53:52,3000029,4000015,2021-01-24 08:38:34,1
8000009,5000810,1000570,2021/01/03 23:15:34,3000026,4000036,2021-01-24 09:00:01,1
8000010,5000031,1000277,2020/12/26 07:31:42,3000044,4000026,,0
8000011,5000753,1000450,2021/02/10 17:17:52,3000008,4000051,2021-01-29 22:20:11,1
8000012,5000276,1000185,2021/01/23 20:37:36,3000026,4000036,2021-01-11 22:00:26,1
8000013,5000839,1000393,2021/01/23 09:44:59,3000037,4000094,2021-01-05 11:02:13,1
8000014,5000874,1000888,2020/12/22 07:12:43,3000002,4000039,2021-01-23 01:31:07,1
8000015,5000688,1000675,2021/02/13 13:31:11,3000000,4000034,2021-02-19 00:17:44,1
8000016,5000265,1000442,2021/02/08 07:00:43,3000015,4000063,2021-01-03 19:49:20,1
8000017,5000663,1000112,2021/01/18 23:37:04,3000025,4000081,2021-01-06 14:28:48,1
8000018,5000625,1000161,2020/12/06 01:02:36,3000026,4000006,2020-12-04 08:29:07,1
8000019,5000483,1000876,2021/01/24 19:15:41,3000022,4000062,2020-12-20 07:18:10,1
8000020,5000473,1000355,2020/12/24 15:28:33,3000011,4000009,2020-12-27 19:22:38,1
8000021,5000964,1000221,2021/01/12 16:12:55,3000024,4000079,2020-12-06 00:24:41,1
8000022,5000622,1000399,2020/12/31 20:01:38,3000018,4000064,2020-12-20 05:42:50,1
8000023,5000028,1000688,2020/12/13 18:20:09,3000046,4000082,2021-02-18 15:49:40,1
8000024,5000452,1000386,2021/02/04 02:57:37,3000014,4000023,2020-12-25 09:14:32,1
8000025,5000349,1000974,2021/02/11 10:27:29,3000001,4000028,2020-12-24 07:18:58,1
8000026,5000421,1000956,2021/01/26 02:28:19,3000021,4000066,2020-12-25 09:25:10,1
8000027,5000807,1000396,2021/01/04 00:30:21,3000021,4000035,2021-01-23 17:33:49,1
8000028,5000177,1000360,2020/12/17 15:26:09,3000046,4000082,2020-12-21 01:35:43,1
8000029,5000979,1000926,2021/02/10 06:29:49,3000044,4000010,2021-01-22 17:47:54,1
8000030,5000277,1000641,2020/12/19 17:51:06,3000005,4000021,2020-12-27 07:15:41,1
8000031,5000386,1000854,2020/12/16 20:21:49,3000006,4000076,2021-02-09 12:55:18,1
8000032,5000665,1000055,2021/01/17 08:11:00,3000048,4000091,2020-12-28 15:07:29,1
8000033,5000008,1000020,2021/01/29 01:14:09,3000010,4000027,2021-01-01 06:53:09,1
8000034,5000464,1000473,2021/02/10 20:39:06,3000016,4000017,2021-01-09 23:31:20,1
8000035,5000151,1000999,2020/12/01 21:33:03,3000005,4000021,2021-01-04 22:21:58,1
8000036,5000872,1000228,2020/12/12 14:14:54,3000025,4000049,2020-12-28 16:19:05,1
8000037,5000021,1000451,2021/01/27 07:31:54,3000003,4000000,,0
8000038,5000665,1000657,2021/02/11 21:35:25,3000048,4000091,2020-12-09 21:49:31,1
8000039,5000155,1000772,2020/12/31 18:10:32,3000044,4000044,2021-02-08 16:19:14,1
8000040,5000550,1000458,2021/02/20 04:13:51,3000010,4000071,2021-01-31 10:41:26,1
8000041,5000574,1000482,2020/12/21 10:32:00,3000008,4000038,2021-02-09 05:13:47,1
8000042,5000441,1000394,2020/12/29 03:02:50,3000026,4000036,2021-01-04 08:40:27,1
8000043,5000237,1000355,2020/12/23 03:50:05,3000048,4000095,2021-02-12 23:46:47,1
8000044,5000245,1000037,2021/02/14 08:51:07,3000027,4000011,2021-01-24 19:58:43,1
8000045,5000901,1000132,2021/01/05 17:07:03,3000023,4000061,2021-02-05 21:02:51,1
8000046,5000266,1000978,2020/12/13 13:56:22,3000008,4000038,2021-01-25 19:14:59,1
8000047,5000065,1000072,2020/12/29 19:44:07,3000038,4000052,2021-02-18 19:40:50,1
8000048,5000769,1000307,2021/02/05 06:30:14,3000025,4000081,2021-02-05 01:31:52,1
8000049,5000791,1000788,2021/02/19 04:07:45,3000031,4000072,2021-02-14 12:34:33,1
8000050,5000122,1000626,2020/12/20 08:35:04,3000041,4000008,2021-02-04 21:40:39,1
8000051,5000590,1000533,2021/02/03 02:37:51,3000038,4000067,2020-12-21 17:12:07,1
8000052,5000315,1000945,2021/02/05 09:21:05,3000029,4000029,2021-01-15 22:42:47,1
8000053,5000052,1000755,2021/01/02 00:08:04,3000017,4000096,2020-12-13 20:03:48,1
8000054,5000316,1000298,2020/12/01 17:56:40,3000000,4000034,2020-12-14 10:00:49,1
8000055,5000757,1000841,2020/12/15 02:40:56,3000022,4000060,2020-12-04 06:42:38,1
8000056,5000887,1000125,2021/01/07 18:13:53,3000037,4000058,2021-01-24 03:09:05,1
8000057,5000362,1000290,2021/01/02 01:41:18,3000014,4000048,2020-12-14 01:44:34,1
8000058,5000877,1000909,2021/01/15 02:12:00,3000040,4000024,2021-01-07 13:03:24,1
8000059,5000180,1000143,2021/01/29 02:36:10,3000046,4000020,2020-12-30 21:10:41,1
8000060,5000046,1000047,2021/01/04 19:34:09,3000036,4000050,2020-12-30 19:51:46,1
