trip_id,user_id_trip,bic_id_trip,start_time,end_time,start_STATION_id,end_STATION_id,trip_amount
7000000,1000501,5000468,2021/02/19 05:04:40,2021/02/19 05:19:40,4000035,4000042,1.5
7000001,1000403,5000807,2020/12/15 01:34:51,2020/12/15 01:44:51,4000094,4000064,1.0
7000002,1000187,5000618,2021/01/22 23:22:03,2021/01/22 23:50:03,4000076,4000084,2.8000000000000003
7000003,1000420,5000269,2021/02/17 06:21:33,2021/02/17 06:47:33,4000003,4000073,2.6
7000004,1000024,5000094,2020/12/03 17:51:29,2020/12/03 18:08:29,4000046,4000066,1.7000000000000002
7000005,1000823,5000470,2021/02/11 02:55:19,2021/02/11 03:22:19,4000019,4000097,2.7
7000006,1000602,5000244,2021/01/03 13:09:38,2021/01/03 13:35:38,4000035,4000021,2.6
7000007,1000940,5000497,2021/02/14 20:23:17,2021/02/14 20:33:17,4000047,4000061,1.0
7000008,1000555,5000041,2021/01/21 20:38:34,2021/01/21 20:43:34,4000027,4000079,0.5
7000009,1000583,5000743,2021/01/23 14:00:01,2021/01/23 14:07:01,4000015,4000093,0.7000000000000001
7000010,1000443,5000216,2021/02/01 19:15:23,2021/02/01 19:30:23,4000017,4000022,1.5
7000011,1000957,5000362,2021/01/27 23:20:11,2021/01/27 23:38:11,4000032,4000017,1.8
7000012,1000590,5000174,2021/01/11 11:00:26,2021/01/11 11:19:26,4000023,4000086,1.9000000000000001
7000013,1000431,5000289,2021/01/03 14:02:13,2021/01/03 14:13:13,4000075,4000082,1.1
7000014,1000175,5000660,2021/01/22 07:31:07,2021/01/22 07:54:07,4000083,4000037,2.3000000000000003
7000015,1000101,5000968,2021/02/18 14:17:44,2021/02/18 14:27:44,4000062,4000024,1.0
7000016,1000954,5000490,2021/01/01 03:49:20,2021/01/01 04:10:20,4000085,4000048,2.1
7000017,1000129,5000031,2021/01/04 09:28:48,2021/01/04 09:42:48,4000089,4000064,1.4000000000000001
7000018,1000605,5000153,2020/12/02 20:29:07,2020/12/02 20:47:07,4000001,4000070,1.8
7000019,1000611,5000662,2020/12/19 03:18:10,2020/12/19 03:40:10,4000012,4000046,2.2
7000020,1000996,5000966,2020/12/25 22:22:38,2020/12/25 22:50:38,4000052,4000033,2.8000000000000003
7000021,1000404,5000852,2020/12/05 01:24:41,2020/12/05 01:29:41,4000002,4000095,0.5
7000022,1000974,5000407,2020/12/17 15:42:50,2020/12/17 15:49:50,4000028,4000017,0.7000000000000001
7000023,1000345,5000482,2021/02/17 07:49:40,2021/02/17 08:10:40,4000008,4000070,2.1
7000024,1000178,5000641,2020/12/24 23:14:32,2020/12/24 23:28:32,4000071,4000096,1.4000000000000001
7000025,1000913,5000654,2020/12/21 10:18:58,2020/12/21 10:28:58,4000050,4000015,1.0
7000026,1000179,5000839,2020/12/23 17:25:10,2020/12/23 17:36:10,4000047,4000038,1.1
7000027,1000537,5000921,2021/01/21 04:33:49,2021/01/21 05:00:49,4000036,4000023,2.7
7000028,1000623,5000501,2020/12/18 03:35:43,2020/12/18 04:00:43,4000099,4000039,2.5
7000029,1000248,5000224,2021/01/21 18:47:54,2021/01/21 19:11:54,4000067,4000086,2.4000000000000004
7000030,1000579,5000984,2020/12/26 00:15:41,2020/12/26 00:41:41,4000099,4000012,2.6
7000031,1000877,5000580,2021/02/06 12:55:18,2021/02/06 13:11:18,4000087,4000084,1.6
7000032,1000722,5000191,2020/12/26 17:07:29,2020/12/26 17:20:29,4000053,4000068,1.3
7000033,1000642,5000063,2020/12/30 21:53:09,2020/12/30 22:04:09,4000072,4000033,1.1
7000034,1000865,5000848,2021/01/08 09:31:20,2021/01/08 09:56:20,4000035,4000013,2.5
7000035,1000641,5000330,2021/01/04 09:21:58,2021/01/04 09:37:58,4000035,4000030,1.6
7000036,1000705,5000201,2020/12/27 14:19:05,2020/12/27 14:31:05,4000002,4000076,1.2000000000000002
7000037,1000151,5000142,2020/12/21 05:18:28,2020/12/21 05:34:28,4000018,4000066,1.6
7000038,1000071,5000316,2020/12/08 14:49:31,2020/12/08 14:58:31,4000064,4000013,0.9
7000039,1000115,5000264,2021/02/06 00:19:14,2021/02/06 00:29:14,4000090,4000029,1.0
7000040,1000750,5000617,2021/01/30 10:41:26,2021/01/30 11:11:26,4000070,4000090,3.0
7000041,1000399,5000677,2021/02/06 14:13:47,2021/02/06 14:30:47,4000024,4000082,1.7000000000000002
7000042,1000686,5000998,2021/01/02 04:40:27,2021/01/02 05:05:27,4000059,4000003,2.5
